person name,date of birth,date of death,occupation,country of citizenship,sex or gender,id,Wikidata URL,COMMENTS
Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,poet,Ancient Rome,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,writer,,,,,
Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,poet,Ancient Rome,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,writer,,,,,
Cambyses II,0559-01-01T00:00:00Z,0522-01-01T00:00:00Z,sovereign,,male,Q182483,https://www.wikidata.org/wiki/Q182483,
Cambyses II,0559-01-01T00:00:00Z,0522-01-01T00:00:00Z,sovereign,,male,Q182483,https://www.wikidata.org/wiki/Q182483,
Catullus,0184-01-01T00:00:00Z,0154-01-01T00:00:00Z,poet,Ancient Rome,male,Q163079,https://www.wikidata.org/wiki/Q163079,notes
Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,philosopher,Ancient Rome,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,poet,,,,,
,,,political theorist,,,,,
,,,jurist,,,,,
,,,writer,,,,,
,,,Ancient Roman priest,,,,,
,,,Ancient Roman politician,,,,,
,,,ancient Roman military personnel,,,,,
,,,lawyer,,,,,
,,,orator,,,,,
,,,politician,,,,,
Diodorus Siculus,0190-01-01T00:00:00Z,0120-01-01T00:00:00Z,historian,Agyrion,male,Q171241,https://www.wikidata.org/wiki/Q171241,
,,,geographer,,,,,
,,,mythographer,,,,,
Diodorus Siculus,0190-01-01T00:00:00Z,0120-01-01T00:00:00Z,historian,Agyrion,male,Q171241,https://www.wikidata.org/wiki/Q171241,notes
,,,geographer,,,,,
,,,mythographer,,,,,
Dionysius I of Syracuse,0430-01-01T00:00:00Z,0367-01-01T00:00:00Z,politician,,male,Q332750,https://www.wikidata.org/wiki/Q332750,notes
,,,,,,,
Dionysius I of Syracuse,0430-01-01T00:00:00Z,0367-01-01T00:00:00Z,politician,,male,Q332750,https://www.wikidata.org/wiki/Q332750,
,,,,,,,
Ferdinand I Holy Roman Emperor,1503-03-10T00:00:00Z,1564-07-25T00:00:00Z,monarch,,male,Q150611,http://www.wikidata.org/wiki/Q150611,
,,,aristocrat,,,,,
,,,politician,,,,,
Francesco Guicciardini,1483-03-06T00:00:00Z,1540-05-22T00:00:00Z,historian,Republic of Florence,male,Q44601,https://www.wikidata.org/wiki/Q44601,notes
,,,politician,,,,,
,,,writer,,,,,
,,,diplomat,,,,,
,,,philosopher,,,,,
Herodotus,0484-01-01T00:00:00Z,0425-01-01T00:00:00Z,historian,Halicarnassus,male,Q26825,https://www.wikidata.org/wiki/Q26825,notes
Iphigenia,,,,,female,Q192673,https://www.wikidata.org/wiki/Q192673,
Clodia,0195-01-01T00:00:00Z,0145-01-01T00:00:00Z,,Ancient Rome,female,Q1102155,https://www.wikidata.org/wiki/Q1102155,quote
Niobe,,,,,female,Q213621,https://www.wikidata.org/wiki/Q213621,
Ovid,0143-03-20T00:00:00Z,0017-01-01T00:00:00Z,poet,Ancient Rome,male,Q7198,https://www.wikidata.org/wiki/Q7198,notes
Petrarch,1304-07-20T00:00:00Z,1374-07-19T00:00:00Z,philosopher,Republic of Florence,male,Q1401,https://www.wikidata.org/wiki/Q1401,notes
,,,poet,,,,,
,,,translator,,,,,
,,,lyricist,,,,,
,,,writer,,,,,
,,,mountaineer,,,,,
,,,autobiographer,,,,,
,,,philologist,,,,,
,,,humanist,,,,,
,,,Catholic cleric,,,,,
Pliny the Elder,0020-01-01T00:00:00Z,0079-01-01T00:00:00Z,writer,Ancient Rome,male,Q82778,https://www.wikidata.org/wiki/Q82778,notes
,,,historian,,,,,
,,,naturalist,,,,,
,,,military personnel,,,,,
,,,poet,,,,,
,,,philosopher,,,,,
,,,art historian,,,,,
,,,civil servant,,,,,
