person name,reconciled Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,wikidata id,URLs,COMMENTS
Alfonso XI. of Castile,Alfonso XI of Castile and Leon,1311-08-13T00:00:00Z,1350-03-27T00:00:00Z,Crown of Castile,politician,male,Q298808,https://www.wikidata.org/wiki/Q298808,notes
,,,1350-03-26T00:00:00Z,,,,,,
Augustus Caesar,Augustus,0163-09-23T00:00:00Z,0014-08-19T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q1405,https://www.wikidata.org/wiki/Q1405,
,,,,,ancient Roman military personnel,,,,
,,,,,ruler,,,,
Caligula,Caligula,0012-08-31T00:00:00Z,0041-01-24T00:00:00Z,Ancient Rome,politician,male,Q1409,https://www.wikidata.org/wiki/Q1409,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cyrus,Cyrus the Great,0600-01-01T00:00:00Z,0530-01-01T00:00:00Z,Achaemenid Empire,sovereign,male,Q8423,https://www.wikidata.org/wiki/Q8423,
,,,,Anshan Persia,military leader,,,,
,,,,,founder,,,,
Livy,Titus Livius,0159-01-01T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,historian,male,Q2039,https://www.wikidata.org/wiki/Q2039,
,,,,,writer,,,,
,,,,,poet,,,,
Livy,Titus Livius,0159-01-01T00:00:00Z,0017-01-01T00:00:00Z,Ancient Rome,historian,male,Q2039,https://www.wikidata.org/wiki/Q2039,notes
,,,,,writer,,,,
,,,,,poet,,,,
Lucan,Lucan,0039-11-03T00:00:00Z,0065-04-30T00:00:00Z,Ancient Rome,poet,male,Q188646,https://www.wikidata.org/wiki/Q188646,notes
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,courtier,,,,
Lucan,Lucan,0039-11-03T00:00:00Z,0065-04-30T00:00:00Z,Ancient Rome,poet,male,Q188646,https://www.wikidata.org/wiki/Q188646,notes
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,courtier,,,,
Neptune,Neptune,,,,,male,Q3954,https://www.wikidata.org/wiki/Q3954,
philosopher Bion,Bion of Borysthenes,0325-01-01T00:00:00Z,,,philosopher,male,Q359231,https://www.wikidata.org/wiki/Q359231,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,notes
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Quintilius Varus,Publius Quinctilius Varus,,0009-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q214765,https://www.wikidata.org/wiki/Q214765,
,,,,,ancient Roman military personnel,,,,
,,,,,politician,,,,
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
Varus,Publius Quinctilius Varus,,0009-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q214765,https://www.wikidata.org/wiki/Q214765,
,,,,,ancient Roman military personnel,,,,
,,,,,politician,,,,
Xerxes,Xerxes I,0519-01-01T00:00:00Z,0465-01-01T00:00:00Z,Achaemenid Empire,statesperson,male,Q129165,https://www.wikidata.org/wiki/Q129165,
,,,0465-08-01T00:00:00Z,,,,,,
