person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,id,URLs,COMMENTS
Alessandro Trivulcio,Alessandro Trivulzio,,1521-06-01T00:00:00Z,,military leader,male,Q29556094,https://www.wikidata.org/wiki/Q29556094,
Antigonus,Antigonus I Monophthalmus,0382-01-01T00:00:00Z,0301-01-01T00:00:00Z,Macedonia,military leader,male,Q200401,https://www.wikidata.org/wiki/Q200401,
,,,,,military personnel,,,,
Antigonus,Antigonus I Monophthalmus,0382-01-01T00:00:00Z,0301-01-01T00:00:00Z,Macedonia,military leader,male,Q200401,https://www.wikidata.org/wiki/Q200401,
,,,,,military personnel,,,,
Bartholomew de Brunes,"Bartholomew de Burghersh, 2nd Baron Burghersh",1301-01-01T00:00:00Z,1369-04-05T00:00:00Z,,military personnel,male,Q4865298,https://www.wikidata.org/wiki/Q4865298,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Count of Nassau,Henry III of Nassau-Breda,1483-01-12T00:00:00Z,1538-09-14T00:00:00Z,Germany,art collector,male,Q69450,https://www.wikidata.org/wiki/Q69450,
de l'Assigni,lord of Lassigny,,,,,,,,
Du Bellay,Joachim du Bellay,1522-01-01T00:00:00Z,1560-01-01T00:00:00Z,France,writer,male,Q18420,https://www.wikidata.org/wiki/Q18420,
,,,,,poet,,,,
,,,,,literary critic,,,,
Eumenes,Eumenes,0362-01-01T00:00:00Z,0316-01-01T00:00:00Z,Macedonia,military officer,male,Q297366,https://www.wikidata.org/wiki/Q297366,
,,0363-01-01T00:00:00Z,,,military personnel,,,,
,,,,,satrap,,,,
Florus,Lucius Annaeus Florus,0070-01-01T00:00:00Z,0140-01-01T00:00:00Z,Ancient Rome,historian,male,Q316483,https://www.wikidata.org/wiki/Q316483,notes
,,0074-01-01T00:00:00Z,,,poet,,,,
,,,,,rhetorician,,,,
,,,,,orator,,,,
Guicciardini,Francesco Guicciardini,1483-03-06T00:00:00Z,1540-05-22T00:00:00Z,Republic of Florence,historian,male,Q44601,https://www.wikidata.org/wiki/Q44601,
,,,,,politician,,,,
,,,,,writer,,,,
,,,,,diplomat,,,,
,,,,,philosopher,,,,
Guido di Rangone,Guido II Rangoni,1485-07-01T00:00:00Z,1539-01-01T00:00:00Z,Republic of Venice,condottiero,male,Q3779335,https://www.wikidata.org/wiki/Q3779335,
Guido di Rangone,Guido II Rangoni,1485-07-01T00:00:00Z,1539-01-01T00:00:00Z,Republic of Venice,condottiero,male,Q3779335,https://www.wikidata.org/wiki/Q3779335,
Henry de Vaux,Henry de Vaux,,,,,,,,
"Henry de Vaux, a cavalier of Champagne","Henry de Vaux, a cavalier of Champagne",,,,,,,,
Lysander,Lysander,0401-01-01T00:00:00Z,0395-01-01T00:00:00Z,Sparta,politician,male,Q143559,https://www.wikidata.org/wiki/Q143559,
,,,,,military personnel,,,,
Monsieur de l'Escut,Thomas de Foix-Lescun,1500-01-01T00:00:00Z,1525-03-03T00:00:00Z,France,military personnel,male,Q921574,https://www.wikidata.org/wiki/Q921574,
,,1486-01-01T00:00:00Z,,,,,,,
"Perseus, King of Macedon",Perseus of Macedon,0212-01-01T00:00:00Z,0166-01-01T00:00:00Z,,military personnel,male,Q207363,https://www.wikidata.org/wiki/Q207363,
Polybius,Polybius,0200-01-01T00:00:00Z,0120-01-01T00:00:00Z,Achaean League,historian,male,Q131169,https://www.wikidata.org/wiki/Q131169,
,,,,,military personnel,,,,
,,,,,writer,,,,
Ptolomeus,Ptolemy,0400-01-01T00:00:00Z,0309-01-01T00:00:00Z,,military officer,male,Q1227416,https://www.wikidata.org/wiki/Q1227416,
Pyrrhus,Pyrrhus,0318-01-01T00:00:00Z,0272-01-01T00:00:00Z,Epirus,statesperson,male,Q172353,https://www.wikidata.org/wiki/Q172353,
,,,,,monarch,,,,
,,,,,politician,,,,
,,,,,military personnel,,,,
Seigneur de l'Escut,Thomas de Foix-Lescun,1500-01-01T00:00:00Z,1525-03-03T00:00:00Z,France,military personnel,male,Q921574,https://www.wikidata.org/wiki/Q921574,
,,1486-01-01T00:00:00Z,,,,,,,
Seigneurs de Montmord,Anne de Montmorency,1493-03-15T00:00:00Z,1567-11-12T00:00:00Z,Kingdom of France,diplomat,male,Q356952,https://www.wikidata.org/wiki/Q356952,
,,,,,military personnel,,,,
,,,,,politician,,,,
,,,,,art historian,,,,
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
