person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Count Egmont,"Lamoral, Count of Egmont",1522-11-18T00:00:00Z,1568-06-05T00:00:00Z,Spanish Empire,condottiero,male,Q435844,https://www.wikidata.org/wiki/Q435844,
,,,,,politician,,,,
Count of Horn,"Philip de Montmorency, Count of Horn",1524-01-01T00:00:00Z,1568-06-05T00:00:00Z,,politician,male,Q700105,https://www.wikidata.org/wiki/Q700105,
,,,,,naval officer,,,,
Philip I of Castille,Philip I of Castile,1478-06-22T00:00:00Z,1506-09-25T00:00:00Z,Kingdom of Castile,ruler,male,Q157098,https://www.wikidata.org/wiki/Q157098,
Duke of Suffolk,Richard de la Pole,1480-01-01T00:00:00Z,1525-02-24T00:00:00Z,Kingdom of England,military personnel,male,Q922704,https://www.wikidata.org/wiki/Q922704,
Duke of Alva,"Fernando Álvarez de Toledo, 3rd Duke of Alba",1507-10-29T00:00:00Z,1582-12-11T00:00:00Z,Spain,military officer,male,Q80847,https://www.wikidata.org/wiki/Q80847,
,,,,Kingdom of Portugal,military personnel,,,,
,,,,,diplomat,,,,
,,,,,politician,,,,
Duke of Alva,"Fernando Álvarez de Toledo, 3rd Duke of Alba",1507-10-29T00:00:00Z,1582-12-11T00:00:00Z,Spain,military officer,male,Q80847,https://www.wikidata.org/wiki/Q80847,
,,,,Kingdom of Portugal,military personnel,,,,
,,,,,diplomat,,,,
,,,,,politician,,,,
Duke of Suffolk (Richard de la Pole),Richard de la Pole,1480-01-01T00:00:00Z,1525-02-24T00:00:00Z,Kingdom of England,military personnel,male,Q922704,https://www.wikidata.org/wiki/Q922704,
Count Egmont,"Lamoral, Count of Egmont",1522-11-18T00:00:00Z,1568-06-05T00:00:00Z,Spanish Empire,condottiero,male,Q435844,https://www.wikidata.org/wiki/Q435844,
,,,,,politician,,,,
Count Egmont,"Lamoral, Count of Egmont",1522-11-18T00:00:00Z,1568-06-05T00:00:00Z,Spanish Empire,condottiero,male,Q435844,https://www.wikidata.org/wiki/Q435844,
,,,,,politician,,,,
Emperor Charles V,Charles V,1500-02-24T00:00:00Z,1558-09-21T00:00:00Z,Holy Roman Empire,monarch,male,Q32500,https://www.wikidata.org/wiki/Q32500,
"Henry VII., King of England",Henry VII of England,1457-01-28T00:00:00Z,1509-04-21T00:00:00Z,Kingdom of England,monarch,male,Q675493,https://www.wikidata.org/wiki/Q675493,
,,1457-01-28T00:00:00Z,1509-04-21T00:00:00Z,Wales,royalty,,,,
"Henry VII., King of England",Henry VII of England,1457-01-28T00:00:00Z,1509-04-21T00:00:00Z,Kingdom of England,monarch,male,Q675493,https://www.wikidata.org/wiki/Q675493,
,,1457-01-28T00:00:00Z,1509-04-21T00:00:00Z,Wales,royalty,,,,
Herodotus,Herodotus,0484-01-01T00:00:00Z,0425-01-01T00:00:00Z,Halicarnassus,historian,male,Q26825,https://www.wikidata.org/wiki/Q26825,notes
Herodotus,Herodotus,0484-01-01T00:00:00Z,0425-01-01T00:00:00Z,Halicarnassus,historian,male,Q26825,https://www.wikidata.org/wiki/Q26825,
Count of Horn,"Philip de Montmorency, Count of Horn",1524-01-01T00:00:00Z,1568-06-05T00:00:00Z,,politician,male,Q700105,https://www.wikidata.org/wiki/Q700105,
,,,,,naval officer,,,,
King of Egypt,Rhampsinit,,,,,male,Q1604113,https://www.wikidata.org/wiki/Q1604113,
"Henry VII., King of England",Henry VII of England,1457-01-28T00:00:00Z,1509-04-21T00:00:00Z,Kingdom of England,monarch,male,Q675493,https://www.wikidata.org/wiki/Q675493,
,,1457-01-28T00:00:00Z,1509-04-21T00:00:00Z,Wales,royalty,,,,
Maximilian the emperor,Maximilian I,1459-03-22T00:00:00Z,1519-01-12T00:00:00Z,Holy Roman Empire,ruler,male,Q150726,https://www.wikidata.org/wiki/Q150726,
Philip I of Castille,Philip I of Castile,1478-06-22T00:00:00Z,1506-09-25T00:00:00Z,Kingdom of Castile,ruler,male,Q157098,https://www.wikidata.org/wiki/Q157098,
Philip I of Castille,Philip I of Castile,1478-06-22T00:00:00Z,1506-09-25T00:00:00Z,Kingdom of Castile,ruler,male,Q157098,https://www.wikidata.org/wiki/Q157098,
