person name,reconciled with Wikidata,ids,date of birth,date of death,country of citizenship,occupation,sex or gender,URLs,COMMENTS
Plato,Plato,Q859,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,https://www.wikidata.org/wiki/Q859,
,,,,,,epigrammatist,,,
,,,,,,poet,,,
,,,,,,writer,,,
,,,,,,philosopher of law,,,
Aulus Gellius,Aulus Gellius,Q294800,0130-01-01T00:00:00Z,0180-01-01T00:00:00Z,Ancient Rome,writer,male,https://www.wikidata.org/wiki/Q294800,notes
,,,,,,jurist,,,
,,,,,,grammarian,,,
,,,,,,compiler,,,
,,,,,,military personnel,,,
,,,,,,poet,,,
,,,,,,philosopher,,,
Charles V,Charles V,Q32500,1500-02-24T00:00:00Z,1558-09-21T00:00:00Z,Holy Roman Empire,monarch,male,https://www.wikidata.org/wiki/Q32500,
Charles V,Charles V,Q32500,1500-02-24T00:00:00Z,1558-09-21T00:00:00Z,Holy Roman Empire,monarch,male,https://www.wikidata.org/wiki/Q32500,
Christina of Denmark,Christina of Denmark,Q233821,1521-11-01T00:00:00Z,1590-12-10T00:00:00Z,Norway,aristocrat,female,https://www.wikidata.org/wiki/Q233821,
,,,,,Kingdom of Denmark,,,,
Cicero,Cicero,Q1541,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,https://www.wikidata.org/wiki/Q1541,notes
,,,,,,poet,,,
,,,,,,political theorist,,,
,,,,,,jurist,,,
,,,,,,writer,,,
,,,,,,Ancient Roman priest,,,
,,,,,,Ancient Roman politician,,,
,,,,,,ancient Roman military personnel,,,
,,,,,,lawyer,,,
,,,,,,orator,,,
,,,,,,politician,,,
Darius,Darius I of Persia,Q44387,0550-01-01T00:00:00Z,0486-01-01T00:00:00Z,Achaemenid Empire,statesperson,male,https://www.wikidata.org/wiki/Q44387,
,,,,0486-11-01T00:00:00Z,,military leader,,,
,,,,,,monarch,,,
Erasmi,Erasmus,Q43499,1466-10-28T00:00:00Z,1536-07-12T00:00:00Z,Seventeen Provinces,translator,male,https://www.wikidata.org/wiki/Q43499,notes
,,,,,,philosopher,,,
,,,,,,theologian,,,
,,,,,,essayist,,,
,,,,,,Bible translator,,,
,,,,,,writer,,,
,,,,,,latinist,,,
,,,,,,Latin Catholic priest,,,
,,,,,,university teacher,,,
,,,,,,Lady Margaret's Professor of Divinity,,,
Francesco Sforza,Francesco II Sforza,Q378868,1495-02-04T00:00:00Z,1535-10-24T00:00:00Z,,monarch,male,https://www.wikidata.org/wiki/Q378868,
,,,,,,monarch,,,
Francesco Sforza,Francesco II Sforza,Q378868,1495-02-04T00:00:00Z,1535-10-24T00:00:00Z,,monarch,male,https://www.wikidata.org/wiki/Q378868,
,,,,,,monarch,,,
Francesco Sforza,Francesco II Sforza,Q378868,1495-02-04T00:00:00Z,1535-10-24T00:00:00Z,,monarch,male,https://www.wikidata.org/wiki/Q378868,
,,,,,,monarch,,,
Francesco Sforza,Francesco II Sforza,Q378868,1495-02-04T00:00:00Z,1535-10-24T00:00:00Z,,monarch,male,https://www.wikidata.org/wiki/Q378868,
,,,,,,monarch,,,
Francesco Sforza,Francesco II Sforza,Q378868,1495-02-04T00:00:00Z,1535-10-24T00:00:00Z,,monarch,male,https://www.wikidata.org/wiki/Q378868,
,,,,,,monarch,,,
Francesco Sforza,Francesco II Sforza,Q378868,1495-02-04T00:00:00Z,1535-10-24T00:00:00Z,,monarch,male,https://www.wikidata.org/wiki/Q378868,
,,,,,,monarch,,,
Francesco Sforza,Francesco II Sforza,Q378868,1495-02-04T00:00:00Z,1535-10-24T00:00:00Z,,monarch,male,https://www.wikidata.org/wiki/Q378868,
,,,,,,monarch,,,
Francesco Sforza,Francesco II Sforza,Q378868,1495-02-04T00:00:00Z,1535-10-24T00:00:00Z,,monarch,male,https://www.wikidata.org/wiki/Q378868,
,,,,,,monarch,,,
Francesco Taverna,"Francesco Taverna, I conte di Landriano",Q55281795,1488-01-01T00:00:00Z,1560-08-14T00:00:00Z,,politician,male,https://www.wikidata.org/wiki/Q55281795,
Francesco Taverna,"Francesco Taverna, I conte di Landriano",Q55281795,1488-01-01T00:00:00Z,1560-08-14T00:00:00Z,,politician,male,https://www.wikidata.org/wiki/Q55281795,
Francis I,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
Francis I,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
Francis I,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
Francis I,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
Francis I,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
Francis I,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
Francis I,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
Henry VIII,Henry VIII of England,Q38370,1491-06-28T00:00:00Z,1547-01-28T00:00:00Z,Kingdom of England,monarch,male,https://www.wikidata.org/wiki/Q38370,
,,,,,,composer,,,
Henry VIII,Henry VIII of England,Q38370,1491-06-28T00:00:00Z,1547-01-28T00:00:00Z,Kingdom of England,monarch,male,https://www.wikidata.org/wiki/Q38370,
,,,,,,composer,,,
Herod.,Herodotus,Q26825,0484-01-01T00:00:00Z,0425-01-01T00:00:00Z,Halicarnassus,historian,male,https://www.wikidata.org/wiki/Q26825,notes
Julius II,Julius II,Q80516,1443-12-05T00:00:00Z,1513-02-21T00:00:00Z,Republic of Genoa,Catholic priest,male,https://www.wikidata.org/wiki/Q80516,
King Francis,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
King Francis,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
King Francis I,Francis I of France,Q129857,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,https://www.wikidata.org/wiki/Q129857,
Merveille,Merveille,Q124742946,2007-11-23T00:00:00Z,,France,singer,female,https://www.wikidata.org/wiki/Q124742946,
Merveille,Merveille,Q124742946,2007-11-23T00:00:00Z,,France,singer,female,https://www.wikidata.org/wiki/Q124742946,
Nigidius,Nigidius Figulus,Q175042,0198-01-01T00:00:00Z,0145-01-01T00:00:00Z,Ancient Rome,philosopher,male,https://www.wikidata.org/wiki/Q175042,notes
,,,,,,writer,,,
,,,,,,astrologer,,,
,,,,,,Ancient Roman politician,,,
Nonius,Nonius,Q116459834,,,,,male,https://www.wikidata.org/wiki/Q116459834,notes
Pliny,Pliny the Elder,Q82778,0020-01-01T00:00:00Z,0079-01-01T00:00:00Z,Ancient Rome,writer,male,https://www.wikidata.org/wiki/Q82778,notes
,,,,,,historian,,,
,,,,,,naturalist,,,
,,,,,,military personnel,,,
,,,,,,poet,,,
,,,,,,philosopher,,,
,,,,,,art historian,,,
,,,,,,civil servant,,,
,,,,,,military commander,,,
Pope Julius II,Julius II,Q80516,1443-12-05T00:00:00Z,1513-02-21T00:00:00Z,Republic of Genoa,Catholic priest,male,https://www.wikidata.org/wiki/Q80516,
