person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Anacharsis,Anacharsis,0700-01-01T00:00:00Z,0600-01-01T00:00:00Z,,philosopher,male,Q325026,https://www.wikidata.org/wiki/Q325026,
,,,,,politician,,,,
Anaxarchus,Anaxarchus,0380-01-01T00:00:00Z,0320-01-01T00:00:00Z,,philosopher,male,Q366031,https://www.wikidata.org/wiki/Q366031,
Anaxarchus,Anaxarchus,0380-01-01T00:00:00Z,0320-01-01T00:00:00Z,,philosopher,male,Q366031,https://www.wikidata.org/wiki/Q366031,
Antiochus,Antiochus IV Epiphanes,0215-01-01T00:00:00Z,0164-01-01T00:00:00Z,Seleucid Empire,aristocrat,male,Q3356,https://www.wikidata.org/wiki/Q3356,
Antisthenes,Antisthenes,0445-01-01T00:00:00Z,0365-01-01T00:00:00Z,Classical Athens,philosopher,male,Q179149,https://www.wikidata.org/wiki/Q179149,
Arcesilaus,Arcesilaus,0315-01-01T00:00:00Z,0240-01-01T00:00:00Z,Classical Athens,philosopher,male,Q73527,https://www.wikidata.org/wiki/Q73527,
Aristotle,Aristotle,0384-01-01T00:00:00Z,0322-01-01T00:00:00Z,,philosopher,male,Q868,https://www.wikidata.org/wiki/Q868,
Artaxerxes,Artaxerxes II of Persia,0453-01-01T00:00:00Z,0358-02-01T00:00:00Z,,king,male,Q188472,https://www.wikidata.org/wiki/Q188472,
,,0452-01-01T00:00:00Z,0358-03-01T00:00:00Z,,,,,,
Attalus,Attalus,0400-01-01T00:00:00Z,0336-01-01T00:00:00Z,Macedonia,politician,male,Q356050,https://www.wikidata.org/wiki/Q356050,
,,,,,military personnel,,,,
Augustus,Augustus,0163-09-23T00:00:00Z,0014-08-19T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q1405,https://www.wikidata.org/wiki/Q1405,
,,,,,ancient Roman military personnel,,,,
,,,,,ruler,,,,
Brutus,Lucius Junius Brutus,0540-01-01T00:00:00Z,0509-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q223440,https://www.wikidata.org/wiki/Q223440,
,,,,,ancient Roman military personnel,,,,
Caesar,Julius Caesar,0100-07-12T00:00:00Z,0144-03-15T00:00:00Z,Ancient Rome,orator,male,Q1048,https://www.wikidata.org/wiki/Q1048,
,,,,,memoirist,,,,
,,,,,ruler,,,,
,,,,,Ancient Roman historian,,,,
,,,,,poet,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,politician,,,,
,,,,,military leader,,,,
,,,,,writer,,,,
,,,,,historian,,,,
Cassius,Gaius Cassius Longinus,0182-01-01T00:00:00Z,0142-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q207370,https://www.wikidata.org/wiki/Q207370,
,,,,,ancient Roman military personnel,,,,
Cassius,Gaius Cassius Longinus,0182-01-01T00:00:00Z,0142-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q207370,https://www.wikidata.org/wiki/Q207370,notes
,,,,,ancient Roman military personnel,,,,
Castres,Edouard Castres,1838-06-21T00:00:00Z,1902-06-28T00:00:00Z,Switzerland,painter,male,Q260135,https://www.wikidata.org/wiki/Q260135,
Cato the elder,Cato the Elder,0234-01-01T00:00:00Z,0149-01-01T00:00:00Z,Ancient Rome,writer,male,Q180081,https://www.wikidata.org/wiki/Q180081,
,,,,,Ancient Roman historian,,,,
,,,,,economist,,,,
,,,,,poet,,,,
,,,,,Ancient Roman politician,,,,
,,,,,philosopher,,,,
,,,,,orator,,,,
,,,,,historian,,,,
,,,,,soldier,,,,
Cato the elder,Cato the Elder,0234-01-01T00:00:00Z,0149-01-01T00:00:00Z,Ancient Rome,writer,male,Q180081,https://www.wikidata.org/wiki/Q180081,quote
,,,,,Ancient Roman historian,,,,
,,,,,economist,,,,
,,,,,poet,,,,
,,,,,Ancient Roman politician,,,,
,,,,,philosopher,,,,
,,,,,orator,,,,
,,,,,historian,,,,
,,,,,soldier,,,,
Cicero,Cicero,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,Ancient Rome,philosopher,male,Q1541,https://www.wikidata.org/wiki/Q1541,notes
,,,,,poet,,,,
,,,,,political theorist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,lawyer,,,,
,,,,,orator,,,,
,,,,,politician,,,,
Cimber,Tillius Cimber,0100-01-01T00:00:00Z,0142-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q1228715,https://www.wikidata.org/wiki/Q1228715,
,,,,,ancient Roman military personnel,,,,
