person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,TYPE
Jacques Amyot,Jacques Amyot,1513-10-30T00:00:00Z,1593-02-06T00:00:00Z,France,Catholic priest,male,Q462371,https://www.wikidata.org/wiki/Q462371,PERSON
,,,,,Catholic bishop,,,,
,,,,,translator,,,,
,,,,,writer,,,,
"Archias, the hyerophant","Archias, an Athenian",,,,,,,,PERSON
"Archias, the tyrant of Thebes",Archias,,,,,,Q411645,https://www.wikidata.org/wiki/Q411645,PERSON
Julius Caesar,Julius Caesar,0100-07-12T00:00:00Z,0144-03-15T00:00:00Z,Ancient Rome,orator,male,Q1048,https://www.wikidata.org/wiki/Q1048,PERSON
,,,,,memoirist,,,,
,,,,,ruler,,,,
,,,,,Ancient Roman historian,,,,
,,,,,poet,,,,
,,,,,Ancient Roman priest,,,,
,,,,,Ancient Roman politician,,,,
,,,,,ancient Roman military personnel,,,,
,,,,,politician,,,,
,,,,,military leader,,,,
,,,,,writer,,,,
,,,,,historian,,,,
Monsieur de Boutieres,Monsieur de Boutieres,,,,,,,,PERSON
Pelopidas,Pelopidas,0450-01-01T00:00:00Z,0364-01-01T00:00:00Z,Thebes,politician,male,Q316059,https://www.wikidata.org/wiki/Q316059,PERSON
,,,,,military personnel,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,PERSON
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,PERSON
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,PERSON
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Rusticus,Junius Rusticus,0100-01-01T00:00:00Z,0170-01-01T00:00:00Z,Ancient Rome,philosopher,male,Q18999,https://www.wikidata.org/wiki/Q18999,PERSON
,,,,,politician,,,,
,,,,,military personnel,,,,
,,,,,teacher,,,,
Rusticus,Junius Rusticus,0100-01-01T00:00:00Z,0170-01-01T00:00:00Z,Ancient Rome,philosopher,male,Q18999,https://www.wikidata.org/wiki/Q18999,PERSON
,,,,,politician,,,,
,,,,,military personnel,,,,
,,,,,teacher,,,,
Rusticus,Junius Rusticus,0100-01-01T00:00:00Z,0170-01-01T00:00:00Z,Ancient Rome,philosopher,male,Q18999,https://www.wikidata.org/wiki/Q18999,PERSON
,,,,,politician,,,,
,,,,,military personnel,,,,
,,,,,teacher,,,,
Xenophon,Xenophon,0430-01-01T00:00:00Z,0354-01-01T00:00:00Z,Classical Athens,historian,male,Q129772,https://www.wikidata.org/wiki/Q129772,PERSON
,,0430-01-01T00:00:00Z,,,mercenary,,,,
,,,,,philosopher,,,,
,,,,,military personnel,,,,
,,,,,writer,,,,
