reconciled names,Wikidata id,Wikidata URI,country of citizenship,date of birth,date of death,sex or gender,occupation,name,COMMENTS
Alexander the Great,Q8409,https://www.wikidata.org/wiki/Q8409,Macedonia,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,male,politician,Alexander,
,,,,,,,military leader,,
,,,,,,,monarch,,
Alexander the Great,Q8409,https://www.wikidata.org/wiki/Q8409,Macedonia,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,male,politician,Alexander,
,,,,,,,military leader,,
,,,,,,,monarch,,
Batis,Q459163,https://www.wikidata.org/wiki/Q459163,Achaemenid Empire,0400-01-01T00:00:00Z,0332-01-01T00:00:00Z,male,military personnel,Betis,
,,,,,,,governor,,
Batis,Q459163,https://www.wikidata.org/wiki/Q459163,Achaemenid Empire,0400-01-01T00:00:00Z,0332-01-01T00:00:00Z,male,military personnel,Betis,
,,,,,,,governor,,
Diodorus Siculus,Q171241,https://www.wikidata.org/wiki/Q171241,Agyrion,0190-01-01T00:00:00Z,0120-01-01T00:00:00Z,male,historian,Diod. Sic,notes
,,,,,,,geographer,,
,,,,,,,mythographer,,
Dionysius I of Syracuse,Q332750,https://www.wikidata.org/wiki/Q332750,,0430-01-01T00:00:00Z,0367-01-01T00:00:00Z,male,politician,Dionysius,
,,,,0431-01-01T00:00:00Z,,,,,
Dionysius I of Syracuse,Q332750,https://www.wikidata.org/wiki/Q332750,,0430-01-01T00:00:00Z,0367-01-01T00:00:00Z,male,politician,Dionysius the elder,
,,,,0431-01-01T00:00:00Z,,,,,
"Edward, the Black Prince",Q184854,https://www.wikidata.org/wiki/Q184854,Kingdom of England,1330-06-15T00:00:00Z,1376-06-08T00:00:00Z,male,military personnel,Edward the black prince,
,,,,,,,politician,,
Conrad III of Germany,Q157133,https://www.wikidata.org/wiki/Q157133,Germany,1093-01-01T00:00:00Z,1152-02-15T00:00:00Z,male,monarch,Emperor Conrad III,
Epaminondas,Q190436,https://www.wikidata.org/wiki/Q190436,Thebes,0418-01-01T00:00:00Z,0362-01-01T00:00:00Z,male,politician,Epaminondas,
,,,,,,,military personnel,,
,,,,,,,military leader,,
,,,,,,,statesperson,,
,,,,,,,army officer,,
"Welf I, Margrave of Tuscany",Q68012,https://www.wikidata.org/wiki/Q68012,,1115-01-01T00:00:00Z,1191-12-15T00:00:00Z,male,ruler,Welf VI,
Siege of Limoges,Q7510196,https://www.wikidata.org/wiki/Q7510196,,,,,,Hugh de la Roche,notes
Siege of Limoges,Q7510196,https://www.wikidata.org/wiki/Q7510196,,,,,,Jean de Villemure,notes
Pelopidas,Q316059,https://www.wikidata.org/wiki/Q316059,Thebes,0450-01-01T00:00:00Z,0364-01-01T00:00:00Z,male,politician,Pelopidas,
,,,,,,,military personnel,,
Phyton,Q11922151,https://www.wikidata.org/wiki/Q11922151,,,,male,military personnel,Phyton,
Phyton,Q11922151,https://www.wikidata.org/wiki/Q11922151,,,,male,military personnel,Phyton,
Plutarch,Q41523,https://www.wikidata.org/wiki/Q41523,Ancient Rome,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,male,essayist,Plutarch,notes
,,,,,,,priest,,
,,,,,,,magistrate,,
,,,,,,,biographer,,
,,,,,,,historian,,
,,,,,,,writer,,
,,,,,,,philosopher,,
Plutarch,Q41523,https://www.wikidata.org/wiki/Q41523,Ancient Rome,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,male,essayist,Plutarch,notes
,,,,,,,priest,,
,,,,,,,magistrate,,
,,,,,,,biographer,,
,,,,,,,historian,,
,,,,,,,writer,,
,,,,,,,philosopher,,
Plutarch,Q41523,https://www.wikidata.org/wiki/Q41523,Ancient Rome,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,male,essayist,Plutarch,notes
,,,,,,,priest,,
,,,,,,,magistrate,,
,,,,,,,biographer,,
,,,,,,,historian,,
,,,,,,,writer,,
,,,,,,,philosopher,,
Pompey,Q125414,https://www.wikidata.org/wiki/Q125414,Ancient Rome,0106-09-29T00:00:00Z,0148-09-28T00:00:00Z,male,Ancient Roman politician,Pompey,
,,,,,,,ancient Roman military personnel,,
,,,,,,,politician,,
Quintus Curtius Rufus,Q5959,https://www.wikidata.org/wiki/Q5959,Ancient Rome,0100-01-01T00:00:00Z,0050-01-01T00:00:00Z,male,historian,Quintus Curtius,notes
,,,,,,,writer,,
,,,,,,,politician,,
Siege of Limoges,Q7510196,https://www.wikidata.org/wiki/Q7510196,,,,,,Roger de Beaufort,notes
Skanderbeg,Q160614,https://www.wikidata.org/wiki/Q160614,Republic of Venice,1405-05-06T00:00:00Z,1468-01-17T00:00:00Z,male,aristocrat,"Scanderbeg, Prince of Epirus",
,,,Ottoman Empire,,,,statesperson,,
,,,,,,,military commander,,
Sulla,Q483783,https://www.wikidata.org/wiki/Q483783,Ancient Rome,0138-01-01T00:00:00Z,0178-01-01T00:00:00Z,male,Ancient Roman politician,Sylla,
,,,,,,,ancient Roman military personnel,,
,,,,,,,military leader,,
,,,,,,,politician,,
Stenia gens,Q96406518,https://www.wikidata.org/wiki/Q96406518,,,,,,Sthenius,
