person name,wikidata names,country of citizenship,occupation,sex or gender,date of birth,date of death,URLs,COMMENTS
Agesilaus,Agesilaus II,Sparta,military leader,male,0444-01-01T00:00:00Z,0360-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q271850,
,,,diplomat,,,,,
,,,ruler,,,,,
Aristotle,Aristotle,,philosopher,male,0384-01-01T00:00:00Z,0322-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q868,
Augustine,Augustine of Hippo,Ancient Rome,philosopher,male,0354-11-13T00:00:00Z,0430-08-28T00:00:00Z,https://www.wikidata.org/wiki/Q8018,notes
,,,theologian,,,,,
,,,autobiographer,,,,,
,,,music theorist,,,,,
,,,preacher,,,,,
,,,historian,,,,,
,,,poet,,,,,
,,,writer,,,,,
,,,Catholic priest,,,,,
,,,titular bishop,,,,,
,,,Catholic bishop,,,,,
"Bartolommeo d'Alviano, the Venetian General",Bartolomeo d'Alviano,,condottiero,male,1455-01-01T00:00:00Z,1515-10-07T00:00:00Z,https://www.wikidata.org/wiki/Q2452129,
Bertrand de Guesclin,Bertrand du Guesclin,France,military personnel,male,1320-01-01T00:00:00Z,1380-07-13T00:00:00Z,https://www.wikidata.org/wiki/Q314905,
,,,knight,,1320-01-01T00:00:00Z,,,
Captain Bayard,"Pierre Terrail, seigneur de Bayard",France,knight,male,1476-01-01T00:00:00Z,1524-04-30T00:00:00Z,https://www.wikidata.org/wiki/Q552017,
Chabrias,Chabrias,Classical Athens,military personnel,male,0500-01-01T00:00:00Z,0357-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q543525,
Cicero,Cicero,Ancient Rome,philosopher,male,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,https://www.wikidata.org/wiki/Q1541,notes
,,,poet,,,,,
,,,political theorist,,,,,
,,,jurist,,,,,
,,,writer,,,,,
,,,Ancient Roman priest,,,,,
,,,Ancient Roman politician,,,,,
,,,ancient Roman military personnel,,,,,
,,,lawyer,,,,,
,,,orator,,,,,
,,,politician,,,,,
Cicero,Cicero,Ancient Rome,philosopher,male,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,https://www.wikidata.org/wiki/Q1541,notes
,,,poet,,,,,
,,,political theorist,,,,,
,,,jurist,,,,,
,,,writer,,,,,
,,,Ancient Roman priest,,,,,
,,,Ancient Roman politician,,,,,
,,,ancient Roman military personnel,,,,,
,,,lawyer,,,,,
,,,orator,,,,,
,,,politician,,,,,
Cicero,Cicero,Ancient Rome,philosopher,male,0106-01-03T00:00:00Z,0143-12-07T00:00:00Z,https://www.wikidata.org/wiki/Q1541,notes
,,,poet,,,,,
,,,political theorist,,,,,
,,,jurist,,,,,
,,,writer,,,,,
,,,Ancient Roman priest,,,,,
,,,Ancient Roman politician,,,,,
,,,ancient Roman military personnel,,,,,
,,,lawyer,,,,,
,,,orator,,,,,
,,,politician,,,,,
Crito,Criton,Classical Athens,philosopher,male,0469-01-01T00:00:00Z,0500-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q934471,
Cyrus,Cyrus the Great,Achaemenid Empire,sovereign,male,0600-01-01T00:00:00Z,0530-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q8423,
