person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
La Boétie,Étienne de La Boétie,1530-11-01T00:00:00Z,1563-08-18T00:00:00Z,France,philosopher,male,Q290227,https://www.wikidata.org/wiki/Q290227,notes
,,,,,judge,,,,
,,,,,poet,,,,
,,,,,French moralist,,,,
,,,,,writer,,,,
,,,,,politician,,,,
Cardinal du Bellay,Jean du Bellay,1492-01-01T00:00:00Z,1560-02-16T00:00:00Z,France,Catholic priest,male,Q518967,https://www.wikidata.org/wiki/Q518967,
,,,,,Catholic bishop,,,,
,,,,,diplomat,,,,
,,,,,writer,,,,
Cassius Severus,Cassius Severus,0150-01-01T00:00:00Z,0032-01-01T00:00:00Z,Ancient Rome,writer,male,Q709941,https://www.wikidata.org/wiki/Q709941,
,,,,,politician,,,,
Francis I,Francis I of France,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,Q129857,https://www.wikidata.org/wiki/Q129857,
Guillaume Poyet,Guillaume Poyet,1473-01-01T00:00:00Z,1548-04-01T00:00:00Z,France,politician,male,Q3120144,https://www.wikidata.org/wiki/Q3120144,
,,,,,jurist,,,,
Guillaume Poyet,Guillaume Poyet,1473-01-01T00:00:00Z,1548-04-01T00:00:00Z,France,politician,male,Q3120144,https://www.wikidata.org/wiki/Q3120144,
,,,,,jurist,,,,
Pope Clement VII,Clement VII,1478-05-26T00:00:00Z,1534-09-25T00:00:00Z,Republic of Florence,Catholic priest,male,Q83159,https://www.wikidata.org/wiki/Q83159,
,,,,,transitional deacon,,,,
Severus Cassius,Cassius Severus,0150-01-01T00:00:00Z,0032-01-01T00:00:00Z,Ancient Rome,writer,male,Q709941,https://www.wikidata.org/wiki/Q709941,
,,,,,politician,,,,
Francis I,Francis I of France,1494-09-12T00:00:00Z,1547-03-31T00:00:00Z,Kingdom of France,politician,male,Q129857,https://www.wikidata.org/wiki/Q129857,
Pope Clement VII,Clement VII,1478-05-26T00:00:00Z,1534-09-25T00:00:00Z,Republic of Florence,Catholic priest,male,Q83159,https://www.wikidata.org/wiki/Q83159,
,,,,,transitional deacon,,,,
Pope Clement VII,Clement VII,1478-05-26T00:00:00Z,1534-09-25T00:00:00Z,Republic of Florence,Catholic priest,male,Q83159,https://www.wikidata.org/wiki/Q83159,
,,,,,transitional deacon,,,,
