QUOTE_TRANSCRIPTION,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Philip II of Macedon,Philip II of Macedon,0385-01-01T00:00:00Z,0336-01-01T00:00:00Z,Macedonia,monarch,male,Q130650,https://www.wikidata.org/wiki/Q130650,
Cyrus the Great,Cyrus the Great,0600-01-01T00:00:00Z,0530-01-01T00:00:00Z,Achaemenid Empire,sovereign,male,Q8423,https://www.wikidata.org/wiki/Q8423,
,,,,Anshan Persia,military leader,,,,
,,,,,founder,,,,
Cyrus the Great,Cyrus the Great,0600-01-01T00:00:00Z,0530-01-01T00:00:00Z,Achaemenid Empire,sovereign,male,Q8423,https://www.wikidata.org/wiki/Q8423,
,,,,Anshan Persia,military leader,,,,
,,,,,founder,,,,
Lucretius,Lucretius,0194-01-01T00:00:00Z,0155-01-01T00:00:00Z,Ancient Rome,poet,male,Q47154,https://www.wikidata.org/wiki/Q47154,notes
,,,,,philosopher,,,,
,,,,,writer,,,,
Tacitus,Tacitus,0055-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,historian,male,Q2161,https://www.wikidata.org/wiki/Q2161,notes
,,,,,politician,,,,
,,,,,military personnel,,,,
,,,,,poet,,,,
,,,,,biographer,,,,
,,,,,annalist,,,,
,,,,,jurist,,,,
,,,,,writer,,,,
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
Horace,Horace,0165-12-08T00:00:00Z,0108-11-27T00:00:00Z,Ancient Rome,poet,male,Q6197,https://www.wikidata.org/wiki/Q6197,notes
,,,,,writer,,,,
,,,,,philosopher,,,,
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
Martial,Martial,0040-03-01T00:00:00Z,0104-01-01T00:00:00Z,Ancient Rome,poet,male,Q2098,https://www.wikidata.org/wiki/Q2098,notes
,,,,,writer,,,,
Horace,Horace,0165-12-08T00:00:00Z,0108-11-27T00:00:00Z,Ancient Rome,poet,male,Q6197,https://www.wikidata.org/wiki/Q6197,notes
,,,,,writer,,,,
,,,,,philosopher,,,,
Martial,Martial,0040-03-01T00:00:00Z,0104-01-01T00:00:00Z,Ancient Rome,poet,male,Q2098,https://www.wikidata.org/wiki/Q2098,notes
,,,,,writer,,,,
Lucan,Lucan,0039-11-03T00:00:00Z,0065-04-30T00:00:00Z,Ancient Rome,poet,male,Q188646,https://www.wikidata.org/wiki/Q188646,notes
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,courtier,,,,
Lucretius,Lucretius,0194-01-01T00:00:00Z,0155-01-01T00:00:00Z,Ancient Rome,poet,male,Q47154,https://www.wikidata.org/wiki/Q47154,notes
,,,,,philosopher,,,,
,,,,,writer,,,,
Pentadius,Pentadius,,,Ancient Rome,poet,male,Q6071438,https://www.wikidata.org/wiki/Q6071438,notes
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
